Wall time,Step,Value
1482172254.365543,300,0.41291335225105286
1482172426.8775082,350,0.40675532817840576
1482173116.9834793,550,0.34333446621894836
1482173292.8199563,600,0.31677481532096863
1482173639.6434762,700,0.32755541801452637
1482173810.8298314,750,0.33447545766830444
1482173983.6464446,800,0.3181922435760498
1482174328.2792246,900,0.3189588189125061
1482174499.7436697,950,0.3206911087036133
1482174672.607815,1000,0.3274781405925751
1482174846.043573,1050,0.32938820123672485
1482175541.313949,1250,0.33182862401008606
1482177096.4833403,1700,0.33749866485595703
1482177267.703097,1750,0.32586905360221863
1482177610.448113,1850,0.3161470293998718
1482178124.4738455,2000,0.3228178322315216
1482178294.8006907,2050,0.3278017044067383
1482178643.7038903,2150,0.31991881132125854
1482178987.0802965,2250,0.30577969551086426
1482179159.9083245,2300,0.3223353326320648
1482179508.268605,2400,0.33211567997932434
1482179853.367997,2500,0.30867838859558105
1482180026.65023,2550,0.31138876080513
1482180545.7541397,2700,0.32388123869895935
1482180715.4095027,2750,0.3172077536582947
1482180887.5257297,2800,0.310980886220932
1482181059.6640346,2850,0.3121509552001953
1482181235.191523,2900,0.3292407691478729
1482181752.7699962,3050,0.32101306319236755
1482181925.3620975,3100,0.3114544153213501
1482182269.5622234,3200,0.29835230112075806
1482182612.3955202,3300,0.31408876180648804
1482182785.683547,3350,0.3072608411312103
1482182955.3447855,3400,0.3150780200958252
1482183126.187411,3450,0.29762956500053406
1482183642.53552,3600,0.30877023935317993
1482183816.023165,3650,0.3171498775482178
1482183986.6897163,3700,0.31725582480430603
1482184157.2446032,3750,0.3158930242061615
1482184511.797237,3850,0.30981895327568054
1482185048.8239632,4000,0.3070432245731354
1482185915.2210524,4250,0.3204116225242615
1482186088.36933,4300,0.3120357394218445
1482186260.2873073,4350,0.30224138498306274
1482186433.3583093,4400,0.315678209066391
1482186605.2655003,4450,0.32963255047798157
1482186778.5498402,4500,0.30848538875579834
1482187645.3238318,4750,0.30785107612609863
1482189027.2169287,5150,0.30674347281455994
1482189549.8091767,5300,0.31885772943496704
1482189722.4670718,5350,0.306657612323761
1482190929.9059985,5700,0.31764817237854004
1482191446.0461187,5850,0.310504287481308
1482191790.06983,5950,0.3186317980289459
1482191963.505715,6000,0.3187374770641327
1482192134.8569777,6050,0.3058706223964691
1482192827.9202747,6250,0.3269360065460205
1482192999.6785524,6300,0.2997746169567108
1482193172.7520714,6350,0.311687707901001
1482193688.7899175,6500,0.31297290325164795
1482193859.8927605,6550,0.30106717348098755
1482194383.1229804,6700,0.29602834582328796
1482195073.7150614,6900,0.29697152972221375
1482195420.8219821,7000,0.3124960660934448
1482195768.0462282,7100,0.31512001156806946
1482195943.3937922,7150,0.3034762740135193
1482196116.776446,7200,0.31859061121940613
1482196291.3498569,7250,0.3088066875934601
1482196978.4433875,7450,0.3201131820678711
1482197324.1494467,7550,0.3096357583999634
1482197849.6702695,7700,0.3029578924179077
1482198022.774825,7750,0.3033899664878845
1482198195.5049942,7800,0.31672099232673645
1482198543.5175252,7900,0.30511587858200073
1482198714.6643531,7950,0.29519668221473694
1482198890.1617875,8000,0.30593857169151306
1482199407.6938887,8150,0.2974945604801178
1482199755.049777,8250,0.32884481549263
1482199929.6429133,8300,0.2953326106071472
1482200278.7691987,8400,0.29612478613853455
1482200452.81972,8450,0.313236802816391
1482200975.4005353,8600,0.29903027415275574
1482201838.8851395,8850,0.2988694906234741
1482202012.1953602,8900,0.3029906451702118
1482202183.9001043,8950,0.30982086062431335
1482202536.3453262,9050,0.2945358455181122
1482202709.0425706,9100,0.30859440565109253
1482203056.368575,9200,0.3151646852493286
1482203407.5202796,9300,0.31060248613357544
1482203582.0999691,9350,0.29798758029937744
1482203755.310349,9400,0.29902997612953186
1482203928.212734,9450,0.3093370497226715
1482204272.719471,9550,0.3004222512245178
1482204445.3496199,9600,0.2980906069278717
1482205666.969713,9950,0.3003188669681549
1482206364.9102027,10150,0.2574784755706787
1482207058.5964522,10350,0.2230333685874939
1482207233.4904854,10400,0.2113538682460785
1482207409.2911685,10450,0.19824868440628052
1482208108.848113,10650,0.1793011575937271
1482208633.5350385,10800,0.16734658181667328
1482209157.3371205,10950,0.17267556488513947
1482209331.6868136,11000,0.15337443351745605
1482209855.797886,11150,0.16526742279529572
1482210030.1869066,11200,0.1661331206560135
1482210379.7990067,11300,0.1661696881055832
1482210553.2044616,11350,0.1617048978805542
1482210726.171698,11400,0.16631874442100525
1482211074.2971988,11500,0.15900510549545288
1482211247.931243,11550,0.16154685616493225
1482211599.1330657,11650,0.16295897960662842
1482211774.982103,11700,0.16127827763557434
1482211947.9323733,11750,0.15635493397712708
1482212470.1098313,11900,0.15773415565490723
1482212992.9897292,12050,0.15935185551643372
1482213862.2981284,12300,0.16328176856040955
1482214212.0558221,12400,0.16119998693466187
1482214559.673714,12500,0.16246113181114197
1482214733.10176,12550,0.1592329889535904
1482215604.1654952,12800,0.15778866410255432
1482216127.0566638,12950,0.1664910614490509
1482216303.0402906,13000,0.16063810884952545
1482216476.1571975,13050,0.15484651923179626
1482216649.1548016,13100,0.15259003639221191
1482216996.097581,13200,0.166375532746315
1482217695.3129594,13400,0.15153789520263672
1482218042.548921,13500,0.15349406003952026
1482218392.5600195,13600,0.15033692121505737
1482218742.0357115,13700,0.15415264666080475
1482219616.2187085,13950,0.15619023144245148
1482219965.2176836,14050,0.15290777385234833
